					
	Question	Answers	Recommendation	LINK	KeyWords
	How do you feel today emotionally and physically? What would you like to heal or work on today?	All over the place / Disturbed	Listen to this short energy healing meditation to feel more grounded	https://youtu.be/MhhONUiSdFE?si=as1J6Yk3vltzyZg3	Grounded. Balanced, Calm, Centered
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Tired in the morning	…. to fill yourself with the healing sunlight and feel more energized. This healing helps harmonise and recharge the body with life-giving energy of the sun.	https://www.youtube.com/watch?v=fx8M3NM3zGg	Energized
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Cannot forgive myself	The intention for this healing is to help you forgive yourself and let go of the guilt. 	https://www.youtube.com/watch?v=N3Owd-cGChk	Let go of the guilt, Forgive yourself
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Feeling fear	The intention of this healing is to transform fear into courage and strength.	https://www.youtube.com/watch?v=3eCfFVzHLPg	Feeling courage, strength
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Feeling anxiety	The intention of this healing is to help you reduce anxiety, feel more grounded, peaceful and at ease. 	https://www.youtube.com/watch?v=uV7xuW5LsmQ	Reduce anxiety, stress, feel calm, at ease
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Stressed	The intention of this healing is to assist you with deep relaxation.	https://www.youtube.com/watch?v=QuT3t2LT4zU	Deep relaxation
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Pain from the heartbreak, breakup	The intention of this Reiki is healing the heart wounds.	https://www.youtube.com/watch?v=AjLPntvOoAE	Healing heart wounds
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Trust issues	The intention this healing is to allow you to feel more Trust. 	https://www.youtube.com/watch?v=s59ojcWtpKw	Feel more trust
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Feeling pessimistic	The intention of this healing is to assist you in feeling more optimistic and shifting the perspective towards a more positive, lighthearted and playful one! 	https://www.youtube.com/watch?v=culPm3W6-8w	Feeling optimistic
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Energy depleted	The intention of this healing is to restore and replenish your energy, to fill up your cup!	https://www.youtube.com/watch?v=v3UNJ-JCiIk&t=4s	Energy restored, Energized
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Self love issues	The intention of this reiki is unconditional SELF-LOVE!	https://www.youtube.com/watch?v=NXxdTzA0SEc	Self-love
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Inner Child Issues	The intention of this healing is to assist you in healing your inner child wounds and harmonizing your relationship with your inner child!	https://www.youtube.com/watch?v=4OU8IrLjmyo	Healing inner child
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Relationships with mother	The intention of this healing is to heal any wounds related to your relationship with your mother. 	https://www.youtube.com/watch?v=cxL7D9dTNh8	Healing relationships with mother
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Relationships with father	The intention of this healing is to heal any wounds related to your relationship with your father. 	https://www.youtube.com/watch?v=7vYzVOXQDgU	Healing relationships with father
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Romatic relationships	The intention of this healing is to heal and balance Masculine and Feminine energies within you.	https://www.youtube.com/watch?v=1rqHNXvLMCM	Healing and balancing inner masculine and inner feminine
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Not well physically	The intention of this Reiki is vibrant health!	https://www.youtube.com/watch?v=mlIDYSXl2Sg	Feeling well physically, vibrant health
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Disempowered	This reiki & energy healing is for being in your power! Embracing, activating, and feeling good in your POWER and your LIGHT!	https://www.youtube.com/watch?v=NDo85Wjncbk	Empowered, Being in your power
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Did not sleep well, sleeping	This is a bedtime meditation with Reiki healing to help you drift into sleep.	https://www.youtube.com/watch?v=rSYEOQ34cNc	Better sleep
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Feeling unsafe	This is a Reiki and Energy Healing to feel safe in your body and in your being!	https://www.youtube.com/watch?v=61WbYkwUsPk	Feeling safe
	How do you feel today emotionally and physically? What would you like to heal or work on today?	No peace of mind	This is a Reiki and Energy Healing or a peaceful mind! 	https://www.youtube.com/watch?v=Pu4mWp5zIGI	Peace of mind, clear mind
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Intuition	Affirmations: I Am Activating the Full Power of My Intuition	https://www.youtube.com/watch?v=M-aoOu3jbNQ	Activating power of intuition
	How do you feel today emotionally and physically? What would you like to heal or work on today?	My purpse and mission here	Affirmations: Soul Purpose, Life Mission and Global Service	https://www.youtube.com/watch?v=Rtz1Z_friLc	Activating Soul Purpose, Life Mission and Global Service
	How do you feel today emotionally and physically? What would you like to heal or work on today?	The power of healing myself	Affirmations: The Power to Heal is Within Me	https://www.youtube.com/watch?v=_ocDg-Q8W0o	Activating self-healing power
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Healing my body	Affirmations: I Am Radiant Health. I Am a Being of Light. Every Cell in my Body Radiates Light.	https://www.youtube.com/watch?v=ffK1cJwwRAE&t=4s	Healing my body
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Sad, negative	The Inner Smile (Taoist) Meditation: For Raising Your Vibration	https://www.youtube.com/watch?v=-NAnbb1tHME	Raising Your Vibration, Positive emotions, healing the body
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Bedtime yoga	12-Minute Bedtime Yoga	https://www.youtube.com/watch?v=BiWDsfZ3zbo&list=PLui6Eyny-UzxL6NjFMYD5-vESNii8_aLi&index=28	Bedtime yoga
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Office Yoga	5-Minute Break - Office Yoga	https://www.youtube.com/watch?v=6fnLKyRJsrs	Office Yoga
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Full Body Yoga	Full Body Flow | 20-Minute Yoga Practice	https://www.youtube.com/watch?v=b1H3xO3x_Js&list=PLui6Eyny-UzxL6NjFMYD5-vESNii8_aLi&index=30	Full Body Yoga
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Back Pain Yoga	Yoga For Back Pain	https://www.youtube.com/watch?v=phuS5VLQy8c	Back Pain Yoga
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Neck shoulders yoga	Yoga For Neck, Shoulders, Upper Back | 10-Minute	https://www.youtube.com/watch?v=X3-gKPNyrTA	Neck shoulders yoga
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Yoga for flexibility	20 min Yoga for Flexibility	https://www.youtube.com/watch?v=_OYvmYJZE_0	Yoga for flexibility
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Yoga for strength 	Full Body Yoga for Strength & Flexibility | 25 Minute At Home Mobility Routine	https://www.youtube.com/watch?v=Eml2xnoLpYE	Full Body Yoga for Strength & Flexibility
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Somatic stress release	Seven-Minute Seated Qi Gong Routine For Less Stress and More Energy	https://www.youtube.com/watch?v=s24kDYD2tN8	Somatic stress release
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Self-Compassion 	15-Minute “Inner Smile” Meditation for Self-Love and Compassion	https://www.youtube.com/watch?v=z9d2XApwqZY	Self-Compassion meditation
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Loving Kindness 	Loving Kindness Meditation by Kristin Neff	https://www.youtube.com/watch?v=9cxtdiXBQDk	Loving Kindness Meditation
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Relaxation	Immerse yourself into the peaceful sounds and let your mind be carried away into spheres of abundance. Let your whole being vibrate and feel the aliveness of your body. 	https://www.youtube.com/watch?v=woNqQFEiQ0Q	Healing music, handpan music
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Breathing practice	Meditation can help reduce stress, activate the body’s “relaxation response,” and alleviate anxiety, depression and pain.	https://www.youtube.com/watch?v=iuv5EomIA9s	Reduce stress, relaxation through breathing
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Diaphragmatic breathing	Meditation can help reduce stress, activate the body’s “relaxation response,” and alleviate anxiety, depression and pain.	https://www.youtube.com/watch?v=zPgwQFU1Cwc	Reduce stress, relaxation through breathing
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Mindfulness	A short mindfulness meditation for you to use when you are short on time, but still want to get into a mindful state of mind.  Even five minutes can produce major benefits, give it a try... Enjoy!	https://www.youtube.com/watch?v=ssss7V1_eyA	Minfdullness meditation
	How do you feel today emotionally and physically? What would you like to heal or work on today?	A morning meditation	A Fresh Morning a New You! 	https://www.youtube.com/watch?v=UpGkWr96rXM	Prepare for a great day!
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Gratitude	5 Minute Gratitude from the Heart (Guided Meditation)	https://www.youtube.com/watch?v=m4JJRZzgPio	Expressing gratitude from the heart